INFO 09-01-2021-16:22:53 Número de veículos extraídos: 4176.
INFO 09-01-2021-16:22:54 Número de veículos extraídos: 4200.
INFO 09-01-2021-16:22:55 Número de veículos extraídos: 4224.
INFO 09-01-2021-16:22:55 Número de veículos extraídos: 4248.
INFO 09-01-2021-16:22:56 Número de veículos extraídos: 4272.
INFO 09-01-2021-16:22:57 Número de veículos extraídos: 4296.
INFO 09-01-2021-16:22:57 Número de veículos extraídos: 4320.
INFO 09-01-2021-16:22:58 Número de veículos extraídos: 4344.
INFO 09-01-2021-16:22:59 Número de veículos extraídos: 4368.
INFO 09-01-2021-16:23:00 Número de veículos extraídos: 4392.
INFO 09-01-2021-16:23:00 Número de veículos extraídos: 4416.
INFO 09-01-2021-16:23:01 Número de veículos extraídos: 4440.
INFO 09-01-2021-16:23:02 Número de veículos extraídos: 4464.
INFO 09-01-2021-16:23:02 Número de veículos extraídos: 4488.
INFO 09-01-2021-16:23:03 Número de veículos extraídos: 4512.
INFO 09-01-2021-16:23:04 Número de veículos extraídos: 4536.
INFO 09-01-2021-16:23:04 Número de veículos extraídos: 4560.
INFO 09-01-2021-16:23:05 Número de veículos extraídos: 4584.
INFO 09-01-2021-16:23:06 Número de veículos extraídos: 4608.
INFO 09-01-2021-16:23:06 Número de veículos extraídos: 4632.
INFO 09-01-2021-16:23:07 Número de veículos extraídos: 4656.
INFO 09-01-2021-16:23:07 Número de veículos extraídos: 4680.
INFO 09-01-2021-16:23:08 Número de veículos extraídos: 4704.
INFO 09-01-2021-16:23:09 Número de veículos extraídos: 4728.
INFO 09-01-2021-16:23:09 Número de veículos extraídos: 4752.
INFO 09-01-2021-16:23:10 Número de veículos extraídos: 4776.
INFO 09-01-2021-16:23:11 Número de veículos extraídos: 4800.
INFO 09-01-2021-16:23:11 Número de veículos extraídos: 4824.
INFO 09-01-2021-16:23:12 Número de veículos extraídos: 4848.
INFO 09-01-2021-16:23:13 Número de veículos extraídos: 4872.
INFO 09-01-2021-16:23:14 Número de veículos extraídos: 4896.
INFO 09-01-2021-16:23:14 Número de veículos extraídos: 4920.
INFO 09-01-2021-16:23:15 Número de veículos extraídos: 4944.
INFO 09-01-2021-16:23:15 Número de veículos extraídos: 4968.
INFO 09-01-2021-16:23:16 Número de veículos extraídos: 4992.
INFO 09-01-2021-16:23:17 Número de veículos extraídos: 5016.
INFO 09-01-2021-16:23:17 Número de veículos extraídos: 5040.
INFO 09-01-2021-16:23:18 Número de veículos extraídos: 5064.
INFO 09-01-2021-16:23:19 Número de veículos extraídos: 5088.
INFO 09-01-2021-16:23:19 Número de veículos extraídos: 5112.
INFO 09-01-2021-16:23:20 Número de veículos extraídos: 5136.
INFO 09-01-2021-16:23:21 Número de veículos extraídos: 5160.
INFO 09-01-2021-16:23:21 Número de veículos extraídos: 5184.
INFO 09-01-2021-16:23:22 Número de veículos extraídos: 5208.
INFO 09-01-2021-16:23:23 Número de veículos extraídos: 5232.
INFO 09-01-2021-16:23:24 Número de veículos extraídos: 5256.
INFO 09-01-2021-16:23:24 Número de veículos extraídos: 5280.
INFO 09-01-2021-16:23:25 Número de veículos extraídos: 5304.
INFO 09-01-2021-16:23:25 Número de veículos extraídos: 5328.
INFO 09-01-2021-16:23:26 Número de veículos extraídos: 5352.
INFO 09-01-2021-16:23:27 Número de veículos extraídos: 5376.
INFO 09-01-2021-16:23:27 Número de veículos extraídos: 5400.
INFO 09-01-2021-16:23:28 Número de veículos extraídos: 5424.
INFO 09-01-2021-16:23:29 Número de veículos extraídos: 5448.
INFO 09-01-2021-16:23:29 Número de veículos extraídos: 5472.
INFO 09-01-2021-16:23:30 Número de veículos extraídos: 5496.
INFO 09-01-2021-16:23:31 Número de veículos extraídos: 5520.
INFO 09-01-2021-16:23:31 Número de veículos extraídos: 5544.
INFO 09-01-2021-16:23:32 Número de veículos extraídos: 5568.
INFO 09-01-2021-16:23:33 Número de veículos extraídos: 5592.
INFO 09-01-2021-16:23:33 Número de veículos extraídos: 5616.
INFO 09-01-2021-16:23:34 Número de veículos extraídos: 5640.
INFO 09-01-2021-16:23:35 Número de veículos extraídos: 5664.
INFO 09-01-2021-16:23:35 Número de veículos extraídos: 5688.
INFO 09-01-2021-16:23:36 Número de veículos extraídos: 5712.
INFO 09-01-2021-16:23:37 Número de veículos extraídos: 5736.
INFO 09-01-2021-16:23:37 Número de veículos extraídos: 5760.
INFO 09-01-2021-16:23:38 Número de veículos extraídos: 5784.
INFO 09-01-2021-16:23:38 Número de veículos extraídos: 5808.
